Year,SUNY Institution,Sector,All Employees Total ,All Employees Full-Time,All Employees Part-Time,Faculty Total, Faculty Full-Time,Faculty  Part-Time,Professional Employees Non-Faculty  Total,Professional Employees Non-Faculty  Full-Time,Professional Employees Non-Faculty  Part-Time,Other Employees Total,Other Employees Full-Time,Other Employees Part-Time
2015,Buffalo State,Comprehensive Colleges,"1,857","1,226",631,849,383,466,576,430,146,432,413,19
2014,Buffalo State,Comprehensive Colleges,"1,868","1,226",642,840,387,453,582,421,161,446,418,28
2013,Buffalo State,Comprehensive Colleges,"1,860","1,260",600,842,416,426,585,430,155,433,414,19
2012,Buffalo State,Comprehensive Colleges,"1,836","1,221",615,843,413,430,574,414,160,419,394,25
2011,Buffalo State,Comprehensive Colleges,"1,765","1,163",602,811,403,408,527,409,118,427,351,76
2010,Buffalo State,Comprehensive Colleges,"1,779","1,197",582,824,425,399,534,420,114,421,352,69
2009,Buffalo State,Comprehensive Colleges,"1,824","1,225",599,841,428,413,538,415,123,445,382,63
2008,Buffalo State,Comprehensive Colleges,"1,793","1,221",572,793,430,363,552,408,144,448,383,65
2007,Buffalo State,Comprehensive Colleges,"1,776","1,205",571,787,429,358,534,396,138,455,380,75
2006,Buffalo State,Comprehensive Colleges,"1,681","1,148",533,755,416,339,498,370,128,428,362,66
2005,Buffalo State,Comprehensive Colleges,"1,594","1,095",499,733,410,323,482,363,119,379,322,57
2003,Buffalo State,Comprehensive Colleges,"1,578","1,093",485,722,411,311,477,351,126,379,331,48
2002,Buffalo State,Comprehensive Colleges,"1,516","1,140",376,649,429,220,476,365,111,391,346,45
2001,Buffalo State,Comprehensive Colleges,"1,530","1,143",387,647,426,221,456,341,115,427,376,51
2000,Buffalo State,Comprehensive Colleges,"1,381","1,023",358,594,392,202,387,279,108,400,352,48
2020,Cortland,Comprehensive Colleges,"1,278",967,311,553,326,227,362,296,66,363,345,18
2019,Cortland,Comprehensive Colleges,"1,391",984,407,584,326,258,423,301,122,384,357,27
2018,Cortland,Comprehensive Colleges,"1,366",979,387,576,331,245,411,296,115,379,352,27
2017,Cortland,Comprehensive Colleges,"1,352",942,410,563,316,247,403,274,129,386,352,34
2016,Cortland,Comprehensive Colleges,"1,359",926,433,593,302,291,374,271,103,392,353,39
2015,Cortland,Comprehensive Colleges,"1,332",926,406,568,298,270,369,268,101,395,360,35
2014,Cortland,Comprehensive Colleges,"1,345",917,428,592,294,298,359,261,98,394,362,32
2013,Cortland,Comprehensive Colleges,"1,342",921,421,584,295,289,362,259,103,396,367,29
2012,Cortland,Comprehensive Colleges,"1,335",891,444,579,278,301,369,255,114,387,358,29
2011,Cortland,Comprehensive Colleges,"1,339",880,459,571,285,286,381,262,119,387,333,54
2010,Cortland,Comprehensive Colleges,"1,269",835,434,559,271,288,353,253,100,357,311,46
2009,Cortland,Comprehensive Colleges,"1,283",867,416,560,289,271,349,250,99,374,328,46
2008,Cortland,Comprehensive Colleges,"1,286",900,386,556,306,250,357,261,96,373,333,40
2007,Cortland,Comprehensive Colleges,"1,268",891,377,535,306,229,358,254,104,375,331,44
2006,Cortland,Comprehensive Colleges,"1,235",862,373,517,298,219,341,240,101,377,324,53
2005,Cortland,Comprehensive Colleges,"1,135",788,347,507,272,235,295,231,64,333,285,48
2003,Cortland,Comprehensive Colleges,"1,077",775,302,478,275,203,274,220,54,325,280,45
2002,Cortland,Comprehensive Colleges,"1,078",769,309,490,273,217,257,209,48,331,287,44
2001,Cortland,Comprehensive Colleges,"1,037",745,292,467,260,207,237,192,45,333,293,40
2000,Cortland,Comprehensive Colleges,979,719,260,447,270,177,206,164,42,326,285,41
2020,Empire State College,Comprehensive Colleges,"1,166",599,567,697,157,540,242,228,14,227,214,13
2019,Empire State College,Comprehensive Colleges,"1,301",637,664,797,167,630,259,241,18,245,229,16
2018,Empire State College,Comprehensive Colleges,"1,345",618,727,854,169,685,232,214,18,259,235,24
2017,Empire State College,Comprehensive Colleges,"1,404",614,790,924,179,745,231,207,24,249,228,21
2016,Empire State College,Comprehensive Colleges,"1,518",635,883,"1,020",183,837,226,203,23,272,249,23
2015,Empire State College,Comprehensive Colleges,"1,604",664,940,"1,066",183,883,235,210,25,303,271,32
2014,Empire State College,Comprehensive Colleges,"1,663",679,984,"1,109",191,918,234,202,32,320,286,34
2013,Empire State College,Comprehensive Colleges,"1,722",706,"1,016","1,153",203,950,224,200,24,345,303,42
2012,Empire State College,Comprehensive Colleges,"1,759",708,"1,051","1,181",206,975,216,189,27,362,313,49
2011,Empire State College,Comprehensive Colleges,"1,761",717,"1,044","1,176",204,972,336,292,44,249,221,28
2010,Empire State College,Comprehensive Colleges,"1,753",721,"1,032","1,168",221,947,339,287,52,246,213,33
2009,Empire State College,Comprehensive Colleges,"1,761",676,"1,085","1,193",190,"1,003",310,272,38,258,214,44
2008,Empire State College,Comprehensive Colleges,"1,623",627,996,"1,076",173,903,306,256,50,241,198,43
2007,Empire State College,Comprehensive Colleges,"1,520",566,954,"1,015",158,857,262,231,31,243,177,66
2006,Empire State College,Comprehensive Colleges,"1,428",520,908,963,155,808,223,196,27,242,169,73
2005,Empire State College,Comprehensive Colleges,"1,296",453,843,902,154,748,187,155,32,207,144,63
2003,Empire State College,Comprehensive Colleges,"1,132",441,691,767,152,615,177,150,27,188,139,49
2002,Empire State College,Comprehensive Colleges,924,407,517,593,136,457,148,130,18,183,141,42
2001,Empire State College,Comprehensive Colleges,743,394,349,426,136,290,144,126,18,173,132,41
2000,Empire State College,Comprehensive Colleges,624,378,246,355,134,221,128,115,13,141,129,12
2020,Fredonia,Comprehensive Colleges,866,629,237,402,236,166,242,180,62,222,213,9
2019,Fredonia,Comprehensive Colleges,922,640,282,434,245,189,260,178,82,228,217,11
2018,Fredonia,Comprehensive Colleges,944,674,270,424,249,175,272,193,79,248,232,16
2017,Fredonia,Comprehensive Colleges,959,667,292,442,251,191,271,191,80,246,225,21
2016,Fredonia,Comprehensive Colleges,965,671,294,443,257,186,277,193,84,245,221,24
2015,Fredonia,Comprehensive Colleges,982,674,308,452,251,201,282,193,89,248,230,18
2014,Fredonia,Comprehensive Colleges,"1,009",686,323,468,256,212,283,196,87,258,234,24
2013,Fredonia,Comprehensive Colleges,"1,049",697,352,502,259,243,282,194,88,265,244,21
2012,Fredonia,Comprehensive Colleges,"1,036",684,352,497,256,241,275,184,91,264,244,20
2011,Fredonia,Comprehensive Colleges,"1,006",659,347,485,255,230,227,176,51,294,228,66
2010,Fredonia,Comprehensive Colleges,"1,011",647,364,477,253,224,233,178,55,301,216,85
2009,Fredonia,Comprehensive Colleges,"1,019",687,332,453,259,194,245,179,66,321,249,72
2008,Fredonia,Comprehensive Colleges,"1,015",689,326,460,259,201,237,179,58,318,251,67
2007,Fredonia,Comprehensive Colleges,"1,017",694,323,469,264,205,227,175,52,321,255,66
2006,Fredonia,Comprehensive Colleges,985,683,302,438,255,183,227,170,57,320,258,62
2005,Fredonia,Comprehensive Colleges,957,640,317,460,260,200,256,164,92,241,216,25
2003,Fredonia,Comprehensive Colleges,926,630,296,441,256,185,249,163,86,236,211,25
2002,Fredonia,Comprehensive Colleges,951,643,308,454,262,192,241,158,83,256,223,33
2001,Fredonia,Comprehensive Colleges,935,640,295,447,271,176,227,140,87,261,229,32
2000,Fredonia,Comprehensive Colleges,885,604,281,421,251,170,207,129,78,257,224,33
2020,Geneseo,Comprehensive Colleges,879,723,156,357,240,117,248,217,31,274,266,8
2019,Geneseo,Comprehensive Colleges,969,766,203,395,252,143,267,222,45,307,292,15
2018,Geneseo,Comprehensive Colleges,959,775,184,376,257,119,272,217,55,311,301,10
2017,Geneseo,Comprehensive Colleges,952,763,189,362,256,106,278,209,69,312,298,14
2016,Geneseo,Comprehensive Colleges,927,743,184,358,252,106,274,208,66,295,283,12
2015,Geneseo,Comprehensive Colleges,910,739,171,350,252,98,265,203,62,295,284,11
2014,Geneseo,Comprehensive Colleges,925,743,182,347,253,94,272,196,76,306,294,12
2013,Geneseo,Comprehensive Colleges,925,734,191,352,253,99,266,186,80,307,295,12
2012,Geneseo,Comprehensive Colleges,912,728,184,354,255,99,252,183,69,306,290,16
2011,Geneseo,Comprehensive Colleges,896,688,208,351,240,111,285,201,84,260,247,13
2010,Geneseo,Comprehensive Colleges,893,685,208,339,239,100,296,209,87,258,237,21
2009,Geneseo,Comprehensive Colleges,935,742,193,350,248,102,288,212,76,297,282,15
2008,Geneseo,Comprehensive Colleges,933,740,193,348,253,95,292,206,86,293,281,12
2007,Geneseo,Comprehensive Colleges,900,720,180,334,250,84,273,190,83,293,280,13
2006,Geneseo,Comprehensive Colleges,889,718,171,332,249,83,264,186,78,293,283,10
2005,Geneseo,Comprehensive Colleges,862,710,152,362,265,97,227,180,47,273,265,8
2003,Geneseo,Comprehensive Colleges,861,702,159,367,262,105,218,173,45,276,267,9
2002,Geneseo,Comprehensive Colleges,868,702,166,382,268,114,208,168,40,278,266,12
2001,Geneseo,Comprehensive Colleges,897,721,176,383,272,111,212,166,46,302,283,19
2000,Geneseo,Comprehensive Colleges,827,685,142,359,262,97,182,156,26,286,267,19
2020,New Paltz,Comprehensive Colleges,"1,399",965,434,641,343,298,440,314,126,318,308,10
2019,New Paltz,Comprehensive Colleges,"1,458",993,465,667,344,323,462,330,132,329,319,10
2018,New Paltz,Comprehensive Colleges,"1,456","1,003",453,647,351,296,471,329,142,338,323,15
2017,New Paltz,Comprehensive Colleges,"1,429","1,011",418,627,351,276,455,326,129,347,334,13
2016,New Paltz,Comprehensive Colleges,"1,495","1,038",457,678,372,306,451,318,133,366,348,18
2015,New Paltz,Comprehensive Colleges,"1,481","1,021",460,664,360,304,443,309,134,374,352,22
2014,New Paltz,Comprehensive Colleges,"1,460",999,461,667,357,310,423,297,126,370,345,25
2013,New Paltz,Comprehensive Colleges,"1,426",977,449,649,347,302,406,280,126,371,350,21
2012,New Paltz,Comprehensive Colleges,"1,399",945,454,651,337,314,387,268,119,361,340,21
2011,New Paltz,Comprehensive Colleges,"1,359",914,445,615,313,302,391,268,123,353,333,20
2010,New Paltz,Comprehensive Colleges,"1,410",926,484,652,325,327,396,273,123,362,328,34
2009,New Paltz,Comprehensive Colleges,"1,450",948,502,668,325,343,394,274,120,388,349,39
2008,New Paltz,Comprehensive Colleges,"1,561",981,580,724,335,389,430,283,147,407,363,44
2007,New Paltz,Comprehensive Colleges,"1,520",942,578,714,323,391,400,260,140,406,359,47
2006,New Paltz,Comprehensive Colleges,"1,488",913,575,717,305,412,365,246,119,406,362,44
2005,New Paltz,Comprehensive Colleges,"1,417",874,543,725,308,417,329,232,97,363,334,29
2003,New Paltz,Comprehensive Colleges,"1,415",868,547,725,309,416,314,218,96,376,341,35
2002,New Paltz,Comprehensive Colleges,"1,404",860,544,722,309,413,306,215,91,376,336,40
2001,New Paltz,Comprehensive Colleges,"1,396",880,516,730,327,403,287,203,84,379,350,29
2000,New Paltz,Comprehensive Colleges,"1,283",826,457,661,304,357,260,188,72,362,334,28
2020,Old Westbury,Comprehensive Colleges,709,481,228,369,173,196,206,175,31,134,133,1
2019,Old Westbury,Comprehensive Colleges,766,504,262,394,175,219,225,185,40,147,144,3
2018,Old Westbury,Comprehensive Colleges,728,489,239,373,173,200,218,180,38,137,136,1
2017,Old Westbury,Comprehensive Colleges,720,478,242,362,166,196,214,172,42,144,140,4
2016,Old Westbury,Comprehensive Colleges,706,465,241,355,160,195,210,166,44,141,139,2
2015,Old Westbury,Comprehensive Colleges,695,465,230,345,161,184,208,165,43,142,139,3
2014,Old Westbury,Comprehensive Colleges,676,445,231,337,151,186,200,157,43,139,137,2
2013,Old Westbury,Comprehensive Colleges,665,450,215,322,150,172,201,160,41,142,140,2
2012,Old Westbury,Comprehensive Colleges,641,431,210,317,145,172,184,150,34,140,136,4
2011,Old Westbury,Comprehensive Colleges,628,420,208,308,136,172,175,150,25,145,134,11
2010,Old Westbury,Comprehensive Colleges,602,406,196,289,134,155,167,143,24,146,129,17
2009,Old Westbury,Comprehensive Colleges,566,397,169,255,133,122,159,134,25,152,130,22
2008,Old Westbury,Comprehensive Colleges,596,409,187,268,134,134,164,137,27,164,138,26
2007,Old Westbury,Comprehensive Colleges,589,404,185,272,133,139,153,128,25,164,143,21
2006,Old Westbury,Comprehensive Colleges,555,391,164,258,126,132,131,120,11,166,145,21
2005,Old Westbury,Comprehensive Colleges,538,399,139,237,127,110,184,158,26,117,114,3
2003,Old Westbury,Comprehensive Colleges,515,389,126,222,125,97,177,150,27,116,114,2
2002,Old Westbury,Comprehensive Colleges,518,392,126,226,129,97,181,155,26,111,108,3
2001,Old Westbury,Comprehensive Colleges,531,390,141,239,131,108,164,133,31,128,126,2
2000,Old Westbury,Comprehensive Colleges,494,359,135,220,112,108,144,119,25,130,128,2
2020,Oneonta,Comprehensive Colleges,"1,072",861,211,453,289,164,342,297,45,277,275,2
2019,Oneonta,Comprehensive Colleges,"1,155",895,260,468,288,180,378,309,69,309,298,11
2018,Oneonta,Comprehensive Colleges,"1,160",905,255,476,291,185,368,304,64,316,310,6
2017,Oneonta,Comprehensive Colleges,"1,154",888,266,472,287,185,358,286,72,324,315,9
2016,Oneonta,Comprehensive Colleges,"1,151",882,269,476,286,190,356,285,71,319,311,8
2015,Oneonta,Comprehensive Colleges,"1,148",877,271,466,281,185,356,279,77,326,317,9
2014,Oneonta,Comprehensive Colleges,"1,144",856,288,470,273,197,346,268,78,328,315,13
2013,Oneonta,Comprehensive Colleges,"1,142",858,284,468,277,191,345,262,83,329,319,10
2012,Oneonta,Comprehensive Colleges,"1,142",839,303,473,259,214,336,256,80,333,324,9
2011,Oneonta,Comprehensive Colleges,"1,128",817,311,471,250,221,338,263,75,319,304,15
2010,Oneonta,Comprehensive Colleges,"1,118",811,307,481,251,230,317,263,54,320,297,23
2009,Oneonta,Comprehensive Colleges,"1,125",825,300,460,243,217,325,265,60,340,317,23
2008,Oneonta,Comprehensive Colleges,"1,127",837,290,454,248,206,325,265,60,348,324,24
2007,Oneonta,Comprehensive Colleges,"1,088",789,299,446,234,212,313,249,64,329,306,23
2006,Oneonta,Comprehensive Colleges,"1,051",764,287,441,233,208,276,224,52,334,307,27
2005,Oneonta,Comprehensive Colleges,"1,010",742,268,438,237,201,271,217,54,301,288,13
2003,Oneonta,Comprehensive Colleges,994,719,275,427,229,198,266,211,55,301,279,22
2002,Oneonta,Comprehensive Colleges,"1,005",727,278,430,234,196,268,204,64,307,289,18
2001,Oneonta,Comprehensive Colleges,974,704,270,414,230,184,248,182,66,312,292,20
2000,Oneonta,Comprehensive Colleges,904,679,225,372,223,149,233,171,62,299,285,14
2020,Oswego,Comprehensive Colleges,"1,315","1,038",277,543,365,178,407,314,93,365,359,6
2019,Oswego,Comprehensive Colleges,"1,451","1,095",356,589,378,211,460,321,139,402,396,6
2018,Oswego,Comprehensive Colleges,"1,477","1,112",365,595,378,217,462,322,140,420,412,8
2017,Oswego,Comprehensive Colleges,"1,493","1,124",369,601,384,217,449,308,141,443,432,11
2016,Oswego,Comprehensive Colleges,"1,483","1,094",389,601,366,235,443,299,144,439,429,10
2015,Oswego,Comprehensive Colleges,"1,478","1,078",400,615,359,256,419,282,137,444,437,7
2014,Oswego,Comprehensive Colleges,"1,448","1,058",390,605,348,257,402,274,128,441,436,5
2013,Oswego,Comprehensive Colleges,"1,420","1,040",380,590,344,246,388,261,127,442,435,7
2012,Oswego,Comprehensive Colleges,"1,393","1,020",373,575,325,250,362,247,115,456,448,8
2011,Oswego,Comprehensive Colleges,"1,385","1,001",384,562,313,249,351,253,98,472,435,37
2010,Oswego,Comprehensive Colleges,"1,346",988,358,552,319,233,340,250,90,454,419,35
2009,Oswego,Comprehensive Colleges,"1,320",986,334,527,312,215,326,245,81,467,429,38
2008,Oswego,Comprehensive Colleges,"1,373","1,017",356,548,324,224,338,244,94,487,449,38
2007,Oswego,Comprehensive Colleges,"1,308",982,326,509,311,198,319,235,84,480,436,44
2006,Oswego,Comprehensive Colleges,"1,291",970,321,503,318,185,323,226,97,465,426,39
2005,Oswego,Comprehensive Colleges,"1,237",939,298,510,337,173,335,226,109,392,376,16
2003,Oswego,Comprehensive Colleges,"1,243",944,299,519,347,172,334,225,109,390,372,18
2002,Oswego,Comprehensive Colleges,"1,248",922,326,519,325,194,335,222,113,394,375,19
2001,Oswego,Comprehensive Colleges,"1,174",923,251,458,323,135,303,200,103,413,400,13
2000,Oswego,Comprehensive Colleges,"1,053",868,185,380,310,70,280,182,98,393,376,17
2020,Plattsburgh,Comprehensive Colleges,938,725,213,397,252,145,271,215,56,270,258,12
2019,Plattsburgh,Comprehensive Colleges,"1,055",756,299,436,254,182,332,227,105,287,275,12
2018,Plattsburgh,Comprehensive Colleges,"1,055",766,289,434,267,167,333,225,108,288,274,14
2017,Plattsburgh,Comprehensive Colleges,"1,084",786,298,446,267,179,338,237,101,300,282,18
2016,Plattsburgh,Comprehensive Colleges,"1,100",811,289,435,276,159,347,236,111,318,299,19
2015,Plattsburgh,Comprehensive Colleges,"1,114",816,298,451,283,168,345,230,115,318,303,15
2014,Plattsburgh,Comprehensive Colleges,"1,112",806,306,484,286,198,316,223,93,312,297,15
2013,Plattsburgh,Comprehensive Colleges,"1,125",798,327,495,275,220,307,219,88,323,304,19
2012,Plattsburgh,Comprehensive Colleges,"1,092",779,313,485,274,211,290,209,81,317,296,21
2011,Plattsburgh,Comprehensive Colleges,"1,060",737,323,479,272,207,278,200,78,303,265,38
2010,Plattsburgh,Comprehensive Colleges,"1,117",761,356,511,287,224,298,213,85,308,261,47
2009,Plattsburgh,Comprehensive Colleges,"1,134",775,359,512,282,230,298,210,88,324,283,41
2008,Plattsburgh,Comprehensive Colleges,"1,156",784,372,523,288,235,299,212,87,334,284,50
2007,Plattsburgh,Comprehensive Colleges,"1,142",775,367,499,274,225,301,210,91,342,291,51
2006,Plattsburgh,Comprehensive Colleges,"1,112",769,343,491,272,219,292,210,82,329,287,42
2005,Plattsburgh,Comprehensive Colleges,"1,067",728,339,471,271,200,305,200,105,291,257,34
2003,Plattsburgh,Comprehensive Colleges,"1,047",716,331,449,264,185,306,192,114,292,260,32
2002,Plattsburgh,Comprehensive Colleges,"1,028",706,322,442,263,179,293,177,116,293,266,27
2001,Plattsburgh,Comprehensive Colleges,"1,037",725,312,464,282,182,267,165,102,306,278,28
2000,Plattsburgh,Comprehensive Colleges,933,695,238,425,275,150,207,151,56,301,269,32
2020,Potsdam,Comprehensive Colleges,724,612,112,317,234,83,203,182,21,204,196,8
2019,Potsdam,Comprehensive Colleges,811,654,157,346,243,103,247,202,45,218,209,9
2018,Potsdam,Comprehensive Colleges,817,663,154,342,243,99,249,204,45,226,216,10
2017,Potsdam,Comprehensive Colleges,843,680,163,353,251,102,248,198,50,242,231,11
2016,Potsdam,Comprehensive Colleges,828,670,158,355,248,107,240,198,42,233,224,9
2015,Potsdam,Comprehensive Colleges,825,667,158,347,237,110,233,197,36,245,233,12
2014,Potsdam,Comprehensive Colleges,856,699,157,351,246,105,248,209,39,257,244,13
2013,Potsdam,Comprehensive Colleges,884,723,161,367,261,106,257,216,41,260,246,14
2012,Potsdam,Comprehensive Colleges,876,722,154,348,249,99,244,202,42,284,271,13
2011,Potsdam,Comprehensive Colleges,868,677,191,359,244,115,240,199,41,269,234,35
2010,Potsdam,Comprehensive Colleges,835,670,165,353,255,98,231,191,40,251,224,27
2009,Potsdam,Comprehensive Colleges,866,702,164,357,261,96,241,203,38,268,238,30
2008,Potsdam,Comprehensive Colleges,881,716,165,372,270,102,240,205,35,269,241,28
2007,Potsdam,Comprehensive Colleges,886,708,178,382,263,119,235,200,35,269,245,24
2006,Potsdam,Comprehensive Colleges,841,672,169,350,251,99,226,186,40,265,235,30
2005,Potsdam,Comprehensive Colleges,799,618,181,359,242,117,208,170,38,232,206,26
2003,Potsdam,Comprehensive Colleges,773,600,173,360,237,123,188,161,27,225,202,23
2002,Potsdam,Comprehensive Colleges,755,582,173,329,222,107,184,155,29,242,205,37
2001,Potsdam,Comprehensive Colleges,766,610,156,327,233,94,178,155,23,261,222,39
2000,Potsdam,Comprehensive Colleges,722,582,140,308,219,89,165,148,17,249,215,34
2020,Purchase,Comprehensive Colleges,987,624,363,439,180,259,304,211,93,244,233,11
2019,Purchase,Comprehensive Colleges,"1,122",673,449,460,185,275,379,223,156,283,265,18
2018,Purchase,Comprehensive Colleges,"1,111",661,450,462,177,285,374,225,149,275,259,16
2017,Purchase,Comprehensive Colleges,"1,098",647,451,460,173,287,367,221,146,271,253,18
2016,Purchase,Comprehensive Colleges,"1,102",646,456,468,174,294,373,229,144,261,243,18
2015,Purchase,Comprehensive Colleges,"1,079",643,436,442,177,265,373,218,155,264,248,16
2014,Purchase,Comprehensive Colleges,"1,075",634,441,470,173,297,339,208,131,266,253,13
2013,Purchase,Comprehensive Colleges,"1,026",615,411,428,169,259,338,207,131,260,239,21
2012,Purchase,Comprehensive Colleges,"1,019",594,425,421,160,261,336,189,147,262,245,17
2011,Purchase,Comprehensive Colleges,963,581,382,391,169,222,317,249,68,255,163,92
2010,Purchase,Comprehensive Colleges,956,573,383,384,157,227,319,259,60,253,157,96
2009,Purchase,Comprehensive Colleges,995,589,406,388,154,234,319,263,56,288,172,116
2008,Purchase,Comprehensive Colleges,"1,003",591,412,383,141,242,327,271,56,293,179,114
2007,Purchase,Comprehensive Colleges,"1,010",592,418,376,149,227,333,272,61,301,171,130
2006,Purchase,Comprehensive Colleges,994,585,409,363,145,218,319,263,56,312,177,135
2005,Purchase,Comprehensive Colleges,914,549,365,351,141,210,416,264,152,147,144,3
2003,Purchase,Comprehensive Colleges,897,546,351,350,143,207,400,259,141,147,144,3
2002,Purchase,Comprehensive Colleges,855,539,316,350,139,211,352,251,101,153,149,4
2001,Purchase,Comprehensive Colleges,863,553,310,360,145,215,334,243,91,169,165,4
2000,Purchase,Comprehensive Colleges,804,512,292,365,134,231,276,220,56,163,158,5
2020,Alfred State,Technology Colleges,637,548,89,252,178,74,196,182,14,189,188,1
2019,Alfred State,Technology Colleges,667,560,107,260,183,77,211,184,27,196,193,3
2018,Alfred State,Technology Colleges,653,544,109,247,170,77,206,176,30,200,198,2
2017,Alfred State,Technology Colleges,635,537,98,229,165,64,208,178,30,198,194,4
2016,Alfred State,Technology Colleges,621,530,91,230,167,63,195,169,26,196,194,2
2015,Alfred State,Technology Colleges,611,522,89,225,172,53,185,151,34,201,199,2
2014,Alfred State,Technology Colleges,609,519,90,229,167,62,173,147,26,207,205,2
2013,Alfred State,Technology Colleges,602,509,93,229,168,61,166,137,29,207,204,3
2012,Alfred State,Technology Colleges,598,516,82,221,168,53,168,141,27,209,207,2
2011,Alfred State,Technology Colleges,589,521,68,217,179,38,162,144,18,210,198,12
2010,Alfred State,Technology Colleges,566,481,85,209,160,49,155,137,18,202,184,18
2009,Alfred State,Technology Colleges,572,495,77,203,157,46,156,140,16,213,198,15
2008,Alfred State,Technology Colleges,562,486,76,202,157,45,146,135,11,214,194,20
2007,Alfred State,Technology Colleges,556,484,72,199,159,40,146,131,15,211,194,17
2006,Alfred State,Technology Colleges,548,476,72,202,157,45,140,130,10,206,189,17
2005,Alfred State,Technology Colleges,576,488,88,207,161,46,171,132,39,198,195,3
2003,Alfred State,Technology Colleges,561,464,97,203,152,51,175,133,42,183,179,4
2002,Alfred State,Technology Colleges,546,451,95,199,150,49,167,126,41,180,175,5
2001,Alfred State,Technology Colleges,549,446,103,194,139,55,165,122,43,190,185,5
2000,Alfred State,Technology Colleges,511,437,74,175,139,36,150,118,32,186,180,6
2020,Canton,Technology Colleges,479,384,95,190,123,67,172,144,28,117,117,0
2019,Canton,Technology Colleges,528,403,125,210,124,86,195,156,39,123,123,0
2018,Canton,Technology Colleges,533,406,127,214,129,85,194,153,41,125,124,1
2017,Canton,Technology Colleges,555,404,151,228,132,96,200,150,50,127,122,5
2016,Canton,Technology Colleges,546,392,154,227,126,101,197,148,49,122,118,4
2015,Canton,Technology Colleges,552,396,156,227,129,98,199,145,54,126,122,4
2014,Canton,Technology Colleges,535,387,148,225,125,100,184,139,45,126,123,3
2013,Canton,Technology Colleges,548,392,156,228,131,97,195,140,55,125,121,4
2012,Canton,Technology Colleges,531,368,163,216,125,91,194,130,64,121,113,8
2011,Canton,Technology Colleges,513,339,174,206,116,90,141,117,24,166,106,60
2010,Canton,Technology Colleges,498,329,169,207,120,87,139,109,30,152,100,52
2009,Canton,Technology Colleges,490,328,162,195,113,82,130,107,23,165,108,57
2008,Canton,Technology Colleges,461,329,132,171,108,63,126,109,17,164,112,52
2007,Canton,Technology Colleges,460,325,135,173,107,66,119,102,17,168,116,52
2006,Canton,Technology Colleges,436,316,120,159,99,60,117,102,15,160,115,45
2005,Canton,Technology Colleges,394,289,105,136,84,52,147,95,52,111,110,1
2003,Canton,Technology Colleges,380,281,99,142,89,53,145,101,44,91,91,2
2002,Canton,Technology Colleges,362,268,94,117,75,42,155,103,52,90,90,0
2001,Canton,Technology Colleges,328,283,45,118,87,31,108,96,12,102,100,2
2000,Canton,Technology Colleges,314,269,45,116,84,32,99,88,11,99,97,2
2020,Cobleskill,Technology Colleges,484,390,94,154,102,52,161,127,34,169,161,8
2019,Cobleskill,Technology Colleges,480,354,126,208,105,103,135,117,18,137,132,5
2018,Cobleskill,Technology Colleges,532,396,136,178,106,72,213,156,57,141,134,7
2017,Cobleskill,Technology Colleges,523,394,129,180,104,76,191,144,47,152,146,6
2016,Cobleskill,Technology Colleges,505,383,122,175,104,71,187,140,47,143,139,4
2015,Cobleskill,Technology Colleges,524,387,137,181,104,77,194,139,55,149,144,5
2014,Cobleskill,Technology Colleges,531,382,149,189,100,89,186,131,55,156,151,5
2013,Cobleskill,Technology Colleges,516,381,135,191,99,92,171,135,36,154,147,7
2012,Cobleskill,Technology Colleges,467,369,98,162,99,63,150,121,29,155,149,6
2011,Cobleskill,Technology Colleges,447,362,85,170,97,73,131,128,3,146,137,9
2010,Cobleskill,Technology Colleges,454,362,92,181,100,81,127,125,2,146,137,9
2009,Cobleskill,Technology Colleges,466,376,90,178,100,78,131,129,2,157,147,10
2008,Cobleskill,Technology Colleges,459,373,86,174,101,73,126,123,3,159,149,10
2007,Cobleskill,Technology Colleges,447,374,73,167,106,61,120,118,2,160,150,10
2006,Cobleskill,Technology Colleges,437,358,79,167,107,60,115,108,7,155,143,12
2005,Cobleskill,Technology Colleges,419,356,63,148,108,40,107,102,5,164,146,18
2003,Cobleskill,Technology Colleges,408,357,51,143,112,31,123,115,8,142,130,12
2002,Cobleskill,Technology Colleges,404,357,47,137,110,27,124,114,10,143,133,10
2001,Cobleskill,Technology Colleges,430,372,58,146,117,29,127,114,13,157,141,16
2000,Cobleskill,Technology Colleges,402,357,45,134,111,23,120,113,7,148,133,15
2020,Delhi,Technology Colleges,528,433,95,221,144,77,159,147,12,148,142,6
2019,Delhi,Technology Colleges,551,435,116,221,144,77,168,146,22,162,145,17
2018,Delhi,Technology Colleges,547,449,98,215,150,65,162,145,17,170,154,16
2017,Delhi,Technology Colleges,568,444,124,243,156,87,157,135,22,168,153,15
2016,Delhi,Technology Colleges,543,411,132,242,146,96,139,119,20,162,146,16
2015,Delhi,Technology Colleges,540,396,144,245,149,96,137,113,24,158,134,24
2014,Delhi,Technology Colleges,546,383,163,248,138,110,138,108,30,160,137,23
2013,Delhi,Technology Colleges,534,377,157,233,136,97,141,106,35,160,135,25
2012,Delhi,Technology Colleges,524,364,160,224,128,96,138,104,34,162,132,30
2011,Delhi,Technology Colleges,504,354,150,215,119,96,160,124,36,129,111,18
2010,Delhi,Technology Colleges,479,353,126,211,123,88,141,116,25,127,114,13
2009,Delhi,Technology Colleges,500,357,143,205,120,85,151,121,30,144,116,28
